Stock Name,Symbol
ABAN OFFSHORE LTD.,ABAN-EQ
AMARA RAJA ENERGY MOB LTD,ARE&M-EQ
EMAMI PAPER MILLS LIMITED,EMAMIPAP-EQ
FACT LTD,FACT-EQ
GODREJ CONSUMER PRODUCTS,GODREJCP-EQ
SCHAEFFLER INDIA LIMITED,SCHAEFFLER-EQ
ORICON ENTERPRISES LTD,ORICONENT-EQ
BALKRISHNA PAPER MILLS L,BALKRISHNA-EQ
ADANI ENERGY SOLUTION LTD,ADANIENSOL-EQ
MANORAMA INDUSTRIES LTD,MANORAMA-EQ
FEDERAL BANK LTD,FEDERALBNK-EQ
CONFIDENCE PETRO IND LTD.,CONFIPET-EQ
SYNGENE INTERNATIONAL LTD,SYNGENE-EQ
AYM SYNTEX LIMITED,AYMSYNTEX-EQ
PRAKASH PIPES LIMITED,PPL-EQ
AARON INDUSTRIES LIMITED,AARON-EQ
RAMA STEEL TUBES LIMITED,RAMASTEEL-EQ
AURUM PROPTECH LIMITED,AURUM-EQ
RADHIKA JEWELTECH LIMITED,RADHIKAJWE-EQ
DIGICONTENT LIMITED,DGCONTENT-EQ
CSL FINANCE LIMITED,CSLFINANCE-EQ
FINOLEX CABLES LTD,FINCABLES-EQ
JAIN IRRIGATION SYSTEMS,JISLJALEQS-EQ
SHARE IND. SECURITIES LTD,SHAREINDIA-EQ
STEEL CITY SECURITIES LTD,STEELCITY-EQ
KSHITIJ POLYLINE LIMITED,KSHITIJPOL-EQ
FINOLEX INDUSTRIES LTD,FINPIPE-EQ
MUTHOOT CAP SERV LTD,MUTHOOTCAP-EQ
DYNAMIC CABLES LIMITED,DYCL-EQ
LUPIN LIMITED,LUPIN-EQ
UNITED SPIRITS LIMITED,UNITDSPR-EQ
SATIN CREDIT NET LTD,SATIN-EQ
ARVIND SMARTSPACES LTD,ARVSMART-EQ
POWER MECH PROJECTS LTD.,POWERMECH-EQ
RAM RATNA WIRES LIMITED,RAMRAT-EQ
UFLEX LIMITED,UFLEX-EQ
SHARDA MOTOR INDS LTD,SHARDAMOTR-EQ
NAVKAR CORPORATION LTD.,NAVKARCORP-EQ
RAMA PHOSPHATES LIMITED,RAMAPHO-EQ
KRBL LIMITED,KRBL-EQ
MPS LIMITED,MPSLTD-EQ
